link,sex
https://www.tfrrs.org/athletes/880473/NW_Missouri/Emily_Churchman.html,w
https://www.tfrrs.org/athletes/980670/NW_Missouri/Jennifer_Kiss.html,w
https://www.tfrrs.org/athletes/2408672/Nebraska_Kearney/Cameron_Smith.html,w
https://www.tfrrs.org/athletes/880474/NW_Missouri/Johanna_Avilez.html,w
https://www.tfrrs.org/athletes/2759942/NW_Missouri/Megan_Davis.html,w
https://www.tfrrs.org/athletes/2408673/Nebraska_Kearney/Emma__Kelly.html,w
https://www.tfrrs.org/athletes/1444938/NW_Missouri/Jacob_Dupin.html,m
https://www.tfrrs.org/athletes/2748250/Scott_Wenzl.html,m
https://www.tfrrs.org/athletes/2748219/Nebraska_Kearney/Bryson_Mahlberg.html,m
https://www.tfrrs.org/athletes/1933898/Zane_Myers.html,m
https://www.tfrrs.org/athletes/2759864/NW_Missouri/Seth_Staashelm.html,m
https://www.tfrrs.org/athletes/2759866/NW_Missouri/Zeke_Winans.html,m
https://www.tfrrs.org/athletes/2748903/Wayne_St_NE/Paige_Pollard.html,w
https://www.tfrrs.org/athletes/2748920/Wayne_St_NE/John_Musil.html,m
https://www.tfrrs.org/athletes/2748921/Wayne_St_NE/Cody__Diehl.html,m
https://www.tfrrs.org/athletes/1469742/Bemidji_St/Zac_Preble.html,m
https://www.tfrrs.org/athletes/1279524/Ben_Jasinski.html,m
https://www.tfrrs.org/athletes/1239005/North_Dakota_St/Ted_Rud.html,m
https://www.tfrrs.org/athletes/2756580/Bemidji_St/Tandy_Juell.html,m
https://www.tfrrs.org/athletes/1749284/North_Dakota_St/Weston_Leutz.html,m
https://www.tfrrs.org/athletes/2252470/North_Dakota_St/Ryan__Jenson.html,m
https://www.tfrrs.org/athletes/1960249/Bemidji_St/Brian_Baulke.html,m
https://www.tfrrs.org/athletes/1352016/North_Dakota_St/Whitney_Carlson.html,w
https://www.tfrrs.org/athletes/941418/North_Dakota_St/Heather_Zander.html,w
https://www.tfrrs.org/athletes/1775394/South_Dakota_St/Andrea_Cota.html,w
https://www.tfrrs.org/athletes/1956466/South_Dakota_St/Rachael_Hakk.html,w
https://www.tfrrs.org/athletes/1760541/Bemidji_St/Pearl__Walker.html,w
https://www.tfrrs.org/athletes/2767194/North_Dakota_St/Emily_Stalpes.html,w
https://www.tfrrs.org/athletes/2227393/Maine/Katherine_McGeoghan.html,w
https://www.tfrrs.org/athletes/1692443/New_Hampshire/Megan__Donohue.html,w
https://www.tfrrs.org/athletes/2754583/New_Hampshire/Kayla_Smith.html,w
https://www.tfrrs.org/athletes/2215379/New_Hampshire/Jacquelyn_Mendes.html,w
https://www.tfrrs.org/athletes/1238550/Maine/Tanya_Simard.html,w
https://www.tfrrs.org/athletes/2227398/Maine/Angela_Stakus.html,w
https://www.tfrrs.org/athletes/1201953/New_Hampshire/Anders_Nordquist.html,m
https://www.tfrrs.org/athletes/2227335/Maine/Brian_Martel.html,m
https://www.tfrrs.org/athletes/2216711/New_Hampshire/Frank_Radlof.html,m
https://www.tfrrs.org/athletes/2216710/New_Hampshire/Renrick_Pesce.html,m
https://www.tfrrs.org/athletes/2768848/Maine/Matthew_Toothaker.html,m
https://www.tfrrs.org/athletes/2753058/New_Hampshire/Michael_Marshall.html,m
https://www.tfrrs.org/athletes/2748811/Emporia_St/Bret_Gross.html,m
