link,sex
https://www.tfrrs.org/athletes/3266848/East_Stroudsburg/Theresa_Horn.html,m
https://www.tfrrs.org/athletes/2745440/Kutztown/Brittany_Harman.html,m
https://www.tfrrs.org/athletes/2258901/Shippensburg/Sara__Wagner.html,m
https://www.tfrrs.org/athletes/3722398/Shippensburg/Bailey_Davis.html,m
https://www.tfrrs.org/athletes/3728735/Delaware_Valley/Alexis_Maylor.html,m
https://www.tfrrs.org/athletes/2647124/Muhlenberg/Tara_Keegan.html,m
https://www.tfrrs.org/athletes/2806019/Edinboro/Christine_Ziemer.html,m
https://www.tfrrs.org/athletes/3267161/Franklin__Marshall/Samantha_Greenberg.html,m
https://www.tfrrs.org/athletes/3715839/Kutztown/Christina_Descano.html,m
https://www.tfrrs.org/athletes/3170869/NW_Missouri/Samantha_Fender.html,m
https://www.tfrrs.org/athletes/3712308/Nebraska_Kearney/Brandi_Winchester.html,m
https://www.tfrrs.org/athletes/3724330/Missouri_Southern/Emily_Paullus.html,m
https://www.tfrrs.org/athletes/2759883/NW_Missouri/Jessica_Hugo.html,m
https://www.tfrrs.org/athletes/2759872/NW_Missouri/Adrienne_Cornelius.html,m
https://www.tfrrs.org/athletes/3712284/Nebraska_Kearney/Jordan_Hopkins.html,m
https://www.tfrrs.org/athletes/3256066/Nebraska_Kearney/Morgan_Fischer.html,m
https://www.tfrrs.org/athletes/2755582/Benedictine_KS/Katie_O'Grady.html,m
https://www.tfrrs.org/athletes/3725228/NW_Missouri/Hannah_Churchman.html,m
https://www.tfrrs.org/athletes/2748219/Nebraska_Kearney/Bryson_Mahlberg.html,m
https://www.tfrrs.org/athletes/3699926/Central_Missouri/Seth_Kendrick.html,m
https://www.tfrrs.org/athletes/3256909/Central_Missouri/Ethan_Warren.html,m
https://www.tfrrs.org/athletes/3726371/Benedictine_KS/Jacob_Connealy.html,m
https://www.tfrrs.org/athletes/3703141/StMary-KS/Jeremy_Johnson.html,m
https://www.tfrrs.org/athletes/3742997/Nebraska_Kearney/Mark_Seeba.html,m
https://www.tfrrs.org/athletes/3268579/Emporia_St/Grady_Goff.html,m
https://www.tfrrs.org/athletes/3727746/Georgia/Garrett_Scantling.html,m
https://www.tfrrs.org/athletes/2665572/Georgia/Michael__Ayers.html,m
https://www.tfrrs.org/athletes/2665579/Georgia/Cory__Holman.html,m
https://www.tfrrs.org/athletes/2743494/South_Florida/Neamen_Wise.html,m
https://www.tfrrs.org/athletes/2181695/Michigan/Kurt_Reichenbach.html,m
https://www.tfrrs.org/athletes/2784927/Alabama/Kaylon_Eppinger.html,m
https://www.tfrrs.org/athletes/2665525/Georgia/Lucie_Ondraschkova.html,m
https://www.tfrrs.org/athletes/3763503/Troy/Christina_Barrett.html,m
https://www.tfrrs.org/athletes/3764284/South_Florida/Rachel_Etienne.html,m
https://www.tfrrs.org/athletes/2740768/Troy/Veronica_Bryant.html,m
https://www.tfrrs.org/athletes/3820638/South_Florida/Rachel_Klinger.html,m
https://www.tfrrs.org/athletes/3725485/UC_Colo_Spgs/Lauren__Roberts.html,m
https://www.tfrrs.org/athletes/2758635/UC_Colo_Spgs/Ally_Watson.html,m
https://www.tfrrs.org/athletes/3721840/Colorado_St_Pueblo/Lacy__Harris_.html,m
https://www.tfrrs.org/athletes/2752263/Western_Colorado/Rachel_Weakland.html,m
https://www.tfrrs.org/athletes/3729295/Western_Colorado/Katie_Roos.html,m
https://www.tfrrs.org/athletes/3274525/Colorado_Mines/Kayla_Johnson.html,m
https://www.tfrrs.org/athletes/2748073/Colorado_St_Pueblo/Danita_Wyatt.html,m
https://www.tfrrs.org/athletes/3733250/Adams_State/Lydia_Hunt.html,m
https://www.tfrrs.org/athletes/2250423/UC_Colo_Spgs/Jessica_Luna.html,m
https://www.tfrrs.org/athletes/2250409/UC_Colo_Spgs/Brian_Hopkins.html,m
https://www.tfrrs.org/athletes/3733360/Adams_State/Esteban_Vigil.html,m
https://www.tfrrs.org/athletes/3725468/UC_Colo_Spgs/Zach__Wood.html,m
https://www.tfrrs.org/athletes/3709333/Colorado_Mines/Eric_Brown.html,m
https://www.tfrrs.org/athletes/3258290/Western_Colorado/Kyle_Wiren.html,m
https://www.tfrrs.org/athletes/2265015/Sacramento_St/Baiba_Celma.html,m
https://www.tfrrs.org/athletes/3775060/UC_Davis/Murphy_Nicholson.html,m
https://www.tfrrs.org/athletes/3757327/Sacramento_St/Zarria_McKearney.html,m
https://www.tfrrs.org/athletes/3256601/Portland_State/Mandy_Keifer.html,m
https://www.tfrrs.org/athletes/1687294/Nevada/Alexa_Anderson.html,m
https://www.tfrrs.org/athletes/3366534/UC_Davis/Kira_Rienecker.html,m
https://www.tfrrs.org/athletes/3255769/Utah_State/JENNIFER_SCHIESS.html,m
https://www.tfrrs.org/athletes/2015965/Utah_State/Kali_Hamby.html,m
https://www.tfrrs.org/athletes/3719653/Utah_State/McKenzie_Johnson.html,m
https://www.tfrrs.org/athletes/2749255/Nevada/Katelyn_Choukalos.html,m
https://www.tfrrs.org/athletes/2256704/Utah_State/Jon_Goble.html,m
https://www.tfrrs.org/athletes/2256648/Utah_State/Jordan_McMurray.html,m
https://www.tfrrs.org/athletes/2124973/Portland_State/Mark_Bozarth-Dreher.html,m
https://www.tfrrs.org/athletes/2759586/Montana/Austin_Emry.html,m
https://www.tfrrs.org/athletes/2257421/Utah_State/Sam_Hawkins.html,m
https://www.tfrrs.org/athletes/3726033/Arkansas_State/Savannah_Hutchinson.html,m
https://www.tfrrs.org/athletes/3257920/McNeese_State/Mariah_Georgetown.html,m
https://www.tfrrs.org/athletes/3756979/Western_Michigan/Kathryn__Pickett.html,m
https://www.tfrrs.org/athletes/2798675/U_of_the_South/Lena_Viljoen.html,m
https://www.tfrrs.org/athletes/2255663/UAB/Akira_McSwain.html,m
https://www.tfrrs.org/athletes/3278777/Michigan/Erin__Busbee.html,m
https://www.tfrrs.org/athletes/3708844/Lake_Superior_State/Rebecca_Carruthers.html,m
https://www.tfrrs.org/athletes/3785222/U_of_the_South/Sally_Warm.html,m
https://www.tfrrs.org/athletes/3756975/Western_Michigan/Lindsey_Hufnagel.html,m
https://www.tfrrs.org/athletes/2750575/Pittsburgh/Elizabeth_Kline.html,m
https://www.tfrrs.org/athletes/2244972/Western_Michigan/Amanda_Fenton.html,m
https://www.tfrrs.org/athletes/3721138/Charlotte/Evelyn_Putman.html,m
https://www.tfrrs.org/athletes/3675301/Illinois_State/Kevin__Fisch.html,m
https://www.tfrrs.org/athletes/1736644/Charlotte/Jake_Wainwright.html,m
https://www.tfrrs.org/athletes/3717454/Lake_Superior_State/Justin_Balczak.html,m
https://www.tfrrs.org/athletes/3351742/South_Carolina_Beaufort/Avery_Singleton.html,m
https://www.tfrrs.org/athletes/3254963/Arkansas_State/William_Oliver.html,m
https://www.tfrrs.org/athletes/3254959/Arkansas_State/Thomas__Ligon.html,m
https://www.tfrrs.org/athletes/3261124/Lake_Superior_State/Kaleb_Schweiger.html,m
https://www.tfrrs.org/athletes/3721165/Charlotte/Nick_Swan.html,m
https://www.tfrrs.org/athletes/1747108/Northern_Iowa/Olimpia_Nowak.html,m
https://www.tfrrs.org/athletes/2779571/Wichita_State/Tanya_Friesen.html,m
https://www.tfrrs.org/athletes/2254017/Wichita_State/Witney_Sorell.html,m
https://www.tfrrs.org/athletes/3299083/Wichita_State/Jaden_Prewitt.html,m
https://www.tfrrs.org/athletes/3752920/Iowa/Sarah_Ryan.html,m
https://www.tfrrs.org/athletes/2325815/Friends/Tina_Clausen.html,m
https://www.tfrrs.org/athletes/3275757/Iowa/Zinnia_Miller.html,m
https://www.tfrrs.org/athletes/3725552/Northern_Iowa/Paige__Knodle_.html,m
https://www.tfrrs.org/athletes/3753809/Iowa/Khanishah_Williams.html,m
https://www.tfrrs.org/athletes/3299124/Wichita_State/Mac_Griffith.html,m
https://www.tfrrs.org/athletes/2254027/Wichita_State/Justin_Hickey.html,m
https://www.tfrrs.org/athletes/3757361/Friends/Adrian_Porter.html,m
https://www.tfrrs.org/athletes/2779556/Wichita_State/Tobias_Boese.html,m
https://www.tfrrs.org/athletes/2779558/Wichita_State/Alex_Freshour.html,m
https://www.tfrrs.org/athletes/2779554/Wichita_State/Austin_Bahner.html,m
https://www.tfrrs.org/athletes/1735649/Wichita_State/Aaron_Young.html,m
https://www.tfrrs.org/athletes/3737785/Oklahoma_Baptist/Caleb_Neal.html,m
https://www.tfrrs.org/athletes/3263091/MSU_Billings/Leah_Berry.html,m
https://www.tfrrs.org/athletes/1729706/Idaho_State/Kylee_Gleason.html,m
https://www.tfrrs.org/athletes/3761074/Idaho_State/Rebecca_Clark.html,m
https://www.tfrrs.org/athletes/3761092/Idaho_State/Shayla__Neibauer.html,m
